iter	Passed	Remaining
419	2298	3173
420	2306	3171
421	2313	3168
422	2328	3176
423	2334	3171
424	2339	3165
425	2343	3157
426	2347	3150
427	2353	3145
428	2362	3144
429	2371	3143
430	2380	3142
431	2390	3143
432	2397	3139
433	2403	3134
434	2410	3130
435	2417	3126
436	2422	3121
437	2427	3114
438	2431	3107
439	2437	3102
440	2442	3095
441	2446	3089
442	2450	3081
443	2454	3073
444	2457	3065
445	2461	3056
446	2464	3048
447	2470	3043
448	2474	3036
449	2478	3028
450	2481	3020
451	2484	3012
452	2487	3003
453	2491	2996
454	2494	2987
455	2497	2980
456	2502	2972
457	2505	2965
458	2509	2957
459	2513	2950
460	2518	2944
461	2522	2937
462	2525	2929
463	2529	2922
464	2533	2914
465	2537	2907
466	2542	2902
467	2547	2895
468	2550	2888
469	2554	2880
470	2558	2873
471	2563	2867
472	2567	2860
473	2571	2853
474	2574	2845
475	2579	2839
476	2584	2833
477	2597	2836
478	2605	2833
479	2620	2838
480	2632	2840
481	2643	2841
482	2647	2834
483	2651	2826
484	2654	2818
485	2658	2811
486	2661	2803
487	2665	2796
488	2668	2788
489	2671	2780
490	2676	2774
491	2684	2771
492	2692	2768
493	2699	2765
494	2708	2762
495	2716	2760
496	2724	2757
497	2729	2751
498	2732	2743
499	2736	2736
500	2740	2729
501	2744	2722
502	2747	2715
503	2751	2707
504	2754	2700
505	2758	2692
506	2761	2685
507	2765	2678
508	2768	2670
509	2772	2663
510	2775	2656
511	2779	2649
512	2782	2641
513	2786	2634
514	2790	2627
515	2794	2620
516	2797	2613
517	2800	2606
518	2804	2599
519	2811	2594
520	2815	2588
521	2820	2583
522	2826	2577
523	2831	2571
524	2836	2566
525	2839	2559
526	2843	2551
527	2846	2544
528	2850	2538
529	2854	2531
530	2857	2524
531	2861	2516
532	2865	2510
533	2868	2503
534	2871	2496
535	2875	2489
536	2878	2481
537	2882	2475
538	2885	2468
539	2889	2461
540	2893	2454
541	2897	2448
542	2910	2449
543	2916	2445
544	2924	2441
545	2934	2439
546	2942	2436
547	2949	2432
548	2957	2429
549	2964	2425
550	2971	2421
551	2980	2419
552	2996	2422
553	3006	2420
554	3014	2417
555	3023	2414
556	3032	2411
557	3039	2407
558	3046	2403
559	3050	2396
560	3054	2390
561	3057	2383
562	3061	2376
563	3065	2369
564	3069	2362
565	3072	2355
566	3076	2349
567	3080	2342
568	3083	2335
569	3087	2328
570	3091	2322
571	3095	2316
572	3098	2309
573	3102	2302
574	3106	2295
575	3109	2289
576	3113	2282
577	3116	2275
578	3124	2271
579	3128	2265
580	3132	2259
581	3139	2254
582	3144	2249
583	3148	2242
584	3155	2238
585	3159	2232
586	3165	2227
587	3171	2222
588	3175	2215
589	3181	2210
590	3186	2205
591	3192	2200
592	3198	2195
593	3204	2190
594	3211	2185
595	3216	2180
596	3222	2175
597	3228	2170
598	3233	2164
