iter	RMSE
226	1728.972682
227	1726.664918
228	1725.635779
229	1724.153051
230	1722.54214
231	1720.092076
232	1719.756127
233	1718.035033
234	1716.234864
235	1715.310356
236	1713.130023
237	1711.736851
238	1709.722609
239	1708.381578
240	1707.091616
241	1706.128208
242	1705.064892
243	1703.160725
244	1701.603496
245	1700.201044
246	1699.134784
247	1697.721592
248	1696.783791
249	1695.535277
250	1695.318131
251	1693.448402
252	1692.517853
253	1692.157823
254	1690.543536
255	1689.426631
256	1687.523292
257	1685.748386
258	1684.469158
259	1683.592499
260	1681.620598
261	1680.553951
262	1680.275561
263	1678.652702
264	1677.390255
265	1675.764883
266	1674.449553
267	1673.180541
268	1672.428626
269	1671.729432
270	1670.25256
271	1668.606276
272	1667.954037
273	1667.594238
274	1666.023298
275	1665.093493
276	1664.864853
277	1664.011257
278	1662.984912
279	1661.679806
280	1660.077775
281	1658.175682
282	1656.506341
283	1655.438857
284	1654.446627
285	1653.086968
286	1651.095617
287	1650.383296
288	1650.08942
289	1649.899407
290	1648.329968
291	1647.765531
292	1647.017468
293	1645.574205
294	1644.415086
295	1643.844687
296	1642.916219
297	1641.65329
298	1641.272157
299	1640.500547
300	1639.793064
301	1638.75657
302	1638.001843
303	1636.648089
304	1635.363085
305	1634.925284
306	1634.180753
307	1633.136042
308	1632.155493
309	1631.13768
310	1629.758211
311	1629.02711
312	1628.12625
313	1626.701339
314	1625.903976
315	1624.991098
316	1623.987383
317	1622.729974
318	1621.68419
319	1621.523306
320	1620.488825
321	1620.039988
322	1618.873452
323	1617.945311
324	1616.698407
325	1616.057907
326	1615.905358
327	1615.41653
328	1614.85005
329	1613.874729
330	1613.72987
331	1612.862204
332	1612.018426
333	1610.842552
334	1608.943021
335	1608.358262
336	1608.221096
337	1606.468152
338	1606.337479
339	1605.174679
340	1604.777698
341	1604.354869
342	1603.007001
343	1602.831313
344	1602.709184
345	1601.786384
346	1601.082822
347	1600.617156
348	1599.229268
349	1598.359871
350	1597.285099
351	1596.262233
352	1596.149024
353	1595.67242
354	1594.719401
355	1593.796399
356	1592.95964
357	1592.162121
358	1590.600176
359	1589.872279
360	1589.328557
361	1588.692225
362	1588.169184
363	1587.332557
364	1586.819458
365	1586.426763
366	1585.840998
367	1585.144861
368	1584.549074
369	1583.658029
370	1581.6693
371	1581.087692
372	1579.9946
373	1579.428885
374	1577.904995
375	1576.807822
376	1575.986332
377	1574.834525
378	1574.353028
379	1573.540214
380	1572.840384
381	1571.987449
382	1570.679671
383	1569.656762
384	1569.000532
385	1568.585132
386	1567.757038
387	1566.815505
388	1565.636647
389	1564.928698
390	1564.719653
391	1564.06168
392	1562.998426
393	1562.211258
394	1561.460347
395	1560.893171
396	1559.957075
397	1559.333804
398	1558.242076
399	1557.034704
400	1555.786344
401	1555.394098
402	1554.404683
403	1553.675148
404	1552.75138
405	1551.981583
406	1551.438151
407	1550.846568
408	1550.257562
409	1550.141851
410	1550.034099
411	1549.663543
412	1549.546167
413	1548.784945
414	1548.507944
415	1547.626455
416	1547.108657
417	1546.559961
418	1545.713595
419	1545.326849
420	1544.820638
421	1544.202653
422	1543.550944
423	1543.031397
424	1541.90305
425	1541.393622
426	1540.742621
427	1539.955283
428	1539.020455
429	1538.566165
430	1537.94628
431	1537.01537
432	1536.539364
433	1535.709474
434	1535.309934
435	1534.724154
436	1534.025442
437	1533.244277
438	1532.56271
439	1531.728143
440	1531.13058
441	1530.837835
442	1530.215142
443	1529.426324
444	1528.521424
445	1527.677146
446	1527.313834
447	1526.911347
448	1526.351413
449	1525.940375
450	1525.566918
451	1525.264094
452	1524.821977
453	1524.061048
454	1523.440354
455	1523.117513
456	1522.53639
457	1521.761647
458	1521.005462
459	1519.944853
460	1519.500815
461	1519.380186
462	1518.734443
463	1518.124361
464	1517.417358
465	1516.831404
466	1516.118308
467	1515.037064
468	1514.771835
469	1514.341497
470	1513.82844
471	1512.985453
472	1512.339272
473	1511.394736
474	1510.462191
475	1509.700873
476	1509.092904
477	1508.93705
478	1508.451622
479	1507.616903
480	1507.102738
481	1506.951497
482	1506.077305
483	1505.937449
484	1505.474706
485	1505.10976
486	1504.656149
487	1503.565484
488	1502.902968
489	1502.365322
490	1501.89534
491	1501.324289
492	1500.673588
493	1500.310593
494	1499.773222
495	1499.20064
496	1498.306746
497	1497.728887
498	1497.166333
499	1496.28998
500	1495.431556
501	1494.270655
502	1493.779143
503	1493.399981
504	1492.636474
505	1492.230782
506	1491.693005
507	1491.061333
508	1490.714305
509	1490.45237
510	1489.856818
511	1489.392667
512	1489.068593
513	1488.583268
514	1488.141477
515	1487.803078
516	1487.589485
517	1487.133953
518	1486.582835
519	1486.068405
520	1485.042382
521	1484.766293
522	1484.611276
523	1484.463977
524	1483.505008
525	1483.085961
526	1482.574514
527	1481.993727
528	1481.271446
529	1480.70126
530	1480.134819
531	1479.452656
532	1478.60022
533	1477.519126
534	1476.487335
535	1476.042863
536	1475.635682
537	1475.263182
538	1474.810433
539	1474.146292
540	1473.192397
541	1472.608754
542	1472.144908
543	1471.621936
544	1471.309913
545	1470.842602
546	1470.553779
547	1470.030013
548	1469.678631
549	1469.366664
550	1469.122801
551	1468.643736
552	1468.370284
553	1468.003433
554	1467.787491
555	1467.297303
556	1466.472388
557	1466.200982
558	1465.360435
559	1464.982899
560	1464.552165
561	1464.237233
562	1463.964912
563	1463.400183
564	1462.98964
565	1462.614635
566	1461.830305
567	1461.100176
568	1460.222846
569	1459.745514
570	1459.441658
571	1458.619324
572	1457.80829
573	1457.151085
574	1456.696851
575	1455.8904
576	1454.852853
577	1454.558393
578	1454.119323
579	1453.18125
580	1452.265841
581	1451.545171
582	1451.128905
583	1450.912215
584	1450.657425
585	1450.268034
586	1449.562488
587	1449.439192
588	1449.020193
589	1448.729551
590	1448.378341
591	1448.060173
592	1447.56062
593	1447.225785
594	1446.549322
595	1446.065889
596	1445.754518
597	1445.12692
598	1444.997978
599	1444.6829
600	1444.295606
601	1444.026544
602	1443.527407
603	1442.525287
604	1442.024884
605	1441.690779
606	1441.497045
607	1441.088171
608	1440.774389
609	1440.357375
610	1439.983803
611	1439.697962
612	1439.410669
613	1439.17236
614	1438.90415
615	1438.343585
616	1437.932384
617	1437.505149
618	1437.14372
619	1436.707579
620	1436.571983
621	1436.05689
622	1435.953625
623	1435.47499
624	1435.116646
625	1434.909872
626	1434.361318
627	1434.150713
628	1433.850652
629	1433.55748
630	1432.945867
631	1432.634985
632	1431.779179
633	1431.035489
634	1430.465027
635	1430.065739
636	1429.862383
637	1429.31512
638	1428.819386
639	1428.36164
640	1428.000918
641	1427.41678
642	1427.325973
643	1427.046925
644	1426.701543
645	1426.363253
646	1425.924284
647	1425.228784
648	1424.915391
649	1424.595004
650	1424.173356
651	1424.073676
652	1423.728503
653	1423.035381
654	1422.765197
655	1422.198538
656	1421.657347
657	1421.014333
658	1420.348771
659	1420.028092
660	1419.721921
661	1419.0464
662	1418.568552
663	1417.970513
664	1417.402143
665	1417.021222
666	1416.741578
667	1416.4899
668	1415.838304
669	1415.467564
670	1415.284475
671	1414.848217
672	1414.130915
673	1413.964129
674	1413.360063
675	1413.110543
676	1412.926692
677	1412.4265
678	1411.916745
679	1411.571744
680	1411.167752
681	1410.847395
682	1410.70479
683	1410.388043
684	1409.869515
685	1409.206435
686	1408.932728
687	1408.533136
688	1408.288599
689	1407.623446
690	1407.151859
691	1406.356913
692	1405.952777
693	1405.735504
694	1405.259058
695	1404.883084
696	1404.090666
697	1403.7678
698	1403.535737
699	1403.32134
700	1403.055549
701	1402.555227
702	1402.060675
703	1401.517679
704	1401.061549
705	1400.608093
706	1399.855059
707	1399.370027
708	1399.175001
709	1399.003947
710	1398.391751
711	1397.875356
712	1397.041295
713	1396.826691
714	1396.094265
715	1395.971738
716	1395.598205
717	1395.454903
718	1395.037406
719	1394.656109
720	1394.285702
721	1393.953906
722	1393.597118
723	1393.342939
724	1392.943469
725	1392.793448
726	1392.432208
727	1392.237306
728	1391.874532
729	1391.338633
730	1390.979169
731	1390.509272
732	1389.901202
733	1389.52522
734	1389.29597
735	1389.123881
736	1389.003705
737	1388.81132
738	1388.554137
739	1388.179988
740	1387.978462
741	1387.184124
742	1386.6357
743	1386.15595
744	1385.929055
745	1385.817153
746	1385.695244
747	1385.073986
748	1384.72583
749	1384.180555
750	1383.634136
751	1382.99825
752	1382.491893
753	1382.342253
754	1381.895995
755	1381.802017
756	1381.550918
757	1381.34778
758	1381.050428
759	1380.825609
760	1380.137319
761	1379.743388
762	1379.285345
763	1379.28248
764	1379.083433
765	1378.444299
766	1378.160001
767	1377.9231
768	1377.437599
769	1377.208006
770	1376.859977
771	1376.537854
772	1376.267924
773	1375.938955
774	1375.596299
775	1375.185997
776	1374.280591
777	1374.021655
778	1373.468696
779	1372.91083
780	1372.602113
781	1372.480462
782	1372.195037
783	1371.864122
784	1371.482156
785	1371.056293
786	1370.627275
787	1370.117699
788	1369.83818
789	1369.614795
790	1369.179498
791	1368.735303
792	1368.126268
793	1367.927663
794	1367.532461
795	1367.350313
796	1367.182812
797	1366.744928
798	1366.213531
799	1365.738983
800	1365.248557
801	1365.246002
802	1365.047818
803	1364.797597
804	1364.650659
805	1364.387767
806	1364.30972
807	1364.144695
808	1363.780938
809	1363.652898
810	1363.433688
811	1362.966119
812	1362.895642
813	1362.659494
814	1362.275154
815	1362.270135
816	1361.855587
817	1361.582504
818	1361.233484
819	1360.951498
820	1360.702976
821	1360.509903
822	1360.077238
823	1359.820203
824	1359.565269
825	1359.562936
826	1359.222755
827	1358.872773
828	1358.610257
829	1358.515418
830	1358.22646
831	1357.988074
832	1357.682445
833	1357.489693
834	1357.17769
835	1356.759572
836	1356.750467
837	1356.0921
838	1355.095733
839	1354.639358
840	1354.384642
841	1354.035015
842	1353.872473
843	1353.641994
844	1353.639931
845	1353.020554
846	1352.714106
847	1352.709545
848	1352.634017
849	1352.314748
850	1351.877035
851	1351.757594
852	1351.397776
853	1351.093174
854	1350.845508
855	1350.326149
856	1350.319638
857	1349.778364
858	1349.146957
859	1348.235323
860	1348.008995
861	1348.007317
862	1347.382047
863	1347.36509
864	1346.890544
865	1346.705237
866	1346.410486
867	1346.203892
868	1346.18553
869	1345.892089
870	1345.573159
871	1345.452133
872	1345.008808
873	1344.693842
874	1344.375335
875	1344.031517
876	1343.846806
877	1343.543346
878	1343.202808
879	1342.951625
880	1342.881754
881	1342.327681
882	1342.286329
883	1341.757629
884	1341.4746
885	1341.251496
886	1340.704485
887	1340.550268
888	1340.542487
889	1340.353537
890	1339.965154
891	1339.963664
892	1339.615748
893	1339.37778
894	1338.903675
895	1338.564402
896	1337.995343
897	1337.726044
898	1337.325719
899	1336.986457
900	1336.657777
901	1336.472553
902	1335.728942
903	1335.295277
904	1334.917875
905	1334.905605
906	1334.690362
907	1334.305659
908	1334.120356
909	1333.942295
910	1333.499258
911	1333.258214
912	1333.183377
913	1332.708471
914	1332.339998
915	1332.088405
916	1331.593029
917	1331.342724
918	1330.941095
919	1330.652994
920	1330.394005
921	1330.37507
922	1330.171921
923	1329.898658
924	1329.673537
925	1329.414024
926	1329.062989
927	1328.833104
928	1328.735677
929	1328.656188
930	1328.367863
931	1328.249957
932	1327.997045
933	1327.694222
934	1327.493276
935	1327.318785
936	1326.958388
937	1326.638659
938	1326.210388
939	1325.673666
940	1325.584289
941	1325.324306
942	1325.138254
943	1325.078976
944	1324.773965
945	1324.61314
946	1324.453515
947	1324.446518
948	1324.227983
949	1324.167337
950	1323.782619
951	1323.002205
952	1322.789482
953	1322.1537
954	1321.852359
955	1321.216458
956	1320.864898
957	1320.540347
958	1320.32229
959	1320.208977
960	1320.057568
961	1319.597983
962	1319.474349
963	1318.944255
964	1318.844776
965	1318.707181
966	1318.231978
967	1317.808166
968	1317.607705
969	1317.002275
970	1316.716608
971	1316.256844
972	1315.960415
973	1315.792858
974	1315.32333
975	1315.018368
976	1314.846929
977	1314.45888
978	1314.173452
979	1313.853883
980	1313.520422
981	1313.306314
982	1312.797198
983	1312.505956
984	1312.176413
985	1311.773712
986	1311.604833
987	1311.363446
988	1310.95374
989	1310.851677
990	1310.5859
991	1310.41356
992	1310.249222
993	1309.95331
994	1309.635413
995	1309.371497
996	1308.938462
997	1308.753725
998	1308.538803
999	1308.222096
